"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","461","9","0","0","2","19","1","0","0","2","4"
"B-NAME","0","6","994","0","0","0","5","22","1","0","1","4"
"B-QTY","0","0","0","941","0","1","1","0","0","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","7","4","0","813","3","3","0","0","3","0"
"I-COMMENT","0","11","5","1","0","1","1396","4","0","0","1","16"
"I-NAME","0","1","11","0","0","2","14","1017","0","0","0","5"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","2","0","0","6","10","1","0","0","117","0"
"OTHER","0","3","6","1","0","1","49","5","0","0","0","857"
