"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","467","11","0","0","1","14","1","0","0","0","4"
"B-NAME","0","6","989","0","0","2","8","23","0","0","1","4"
"B-QTY","0","1","0","940","0","0","2","0","0","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","3","3","0","818","2","4","0","0","2","1"
"I-COMMENT","0","10","5","1","0","1","1401","5","0","0","0","12"
"I-NAME","0","1","12","0","0","2","21","1006","0","0","0","8"
"I-QTY","0","0","0","0","0","0","0","0","480","0","1","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","2","2","0","0","5","10","2","0","0","118","0"
"OTHER","0","4","9","0","0","0","60","5","0","0","0","844"
