"id","raw","encoded","pred","label","dist","training_count","not_exact"
"5116","1-28 oz. can diced tomatoes","1 - 28 oz . can diced tomatoes","diced tomato","diced tomato","0.12035344","26","False"
"6020","1 green bell pepper","1 green bell pepper","green bell pepper","green bell pepper","0.024314208","32","False"
"3594","8 hamburger buns, split","8 hamburger buns , split","hamburger bun","hamburger bun","0.11054565","10","False"
"1246","1 small tomato, seeded, finely chopped (about 1/2 cup)","1 small tomato , seeded , finely chopped ( about 1 / 2 cup )","tomato","tomato","0.13878466","57","False"
"3552","1 teaspoon coriander powder","1 teaspoon coriander powder","ground coriander","ground coriander","0.15023486","14","False"
"8333","1/4 cup diced red onion","1 / 4 cup diced red onion","red onion","red onion","0.04881767","67","False"
"480","4 cups fresh spinach","4 cups fresh spinach","fresh spinach","fresh spinach","0.035752214","50","False"
"6747","2 teaspoons ground cumin","2 teaspoons ground cumin","ground cumin","ground cumin","0.044155378","72","False"
"6893","2 Tbsp mirin","2 Tbsp mirin","white wine","white wine","0.28649542","19","True"
"4292","1 large avocado","1 large avocado","hass avocado","hass avocado","0.118652515","64","False"
"3469"," Salt","Salt","table salt","table salt","0.10322571","208","False"
"92","1 cup chopped romaine lettuce","1 cup chopped romaine lettuce","romaine lettuce","romaine lettuce","0.050622314","27","False"
"6756","8 ounces hot Italian turkey sausage, casings removed","8 ounces hot Italian turkey sausage , casings removed","turkey sausage","turkey sausage","0.12693518","2","True"
"325","Zest of 1 lime","Zest of 1 lime","lime zest","lime zest","0.10422598","8","False"
"6399","1 cup chopped red onion (about 1 small onion)","1 cup chopped red onion ( about 1 small onion )","red onion","red onion","0.047975518","67","False"
"4107","1 medium zucchini, halved lengthwise and sliced","1 medium zucchini , halved lengthwise and sliced","zucchini","zucchini","0.12602115","26","False"
"96","1/2 cup 1% milk","1 / 2 cup 1 % milk","1% milk","1% milk","0.05500355","8","False"
"4002","1 teaspoon ground cumin","1 teaspoon ground cumin","ground cumin","ground cumin","0.03186396","72","False"
"4635","1/2 green bell pepper, finely chopped","1 / 2 green bell pepper , finely chopped","green bell pepper","green bell pepper","0.07261914","32","False"
"4425","1 tablespoon of lime juice","1 tablespoon of lime juice","lime juice","lime juice","0.08204568","71","False"
"7679","1 teaspoon sugar","1 teaspoon sugar","white sugar","white sugar","0.15343739","51","False"
"8304","1 ½ teaspoons finely grated lime zest","1 1 / 2 teaspoons finely grated lime zest","lime zest","lime zest","0.1976196","8","False"
"1996","1 avocado, mashed","1 avocado , mashed","hass avocado","hass avocado","0.12192345","64","False"
"2922","1 1/2 teaspoons olive oil","1 1 / 2 teaspoons olive oil","olive oil","olive oil","0.11020637","223","False"
"4995","2 tablespoons olive oil","2 tablespoons olive oil","olive oil","olive oil","0.06002651","223","False"
"7293","5 oz. diced bacon or chorizo","5 oz . diced bacon or chorizo","bacon","bacon","0.14628904","23","False"
"591","1 large ripe banana ((previously peeled, sliced and frozen // more for a sweeter smoothie))","1 large ripe banana ( ( previously peeled , sliced and frozen / / more for a sweeter smoothie ) )","banana","banana","0.19277027","10","False"
"703","Sour cream (optional)","Sour cream ( optional )","sour cream","sour cream","0.09983899","23","False"
"8562","1/4 cup balsamic vinegar","1 / 4 cup balsamic vinegar","balsamic vinegar","balsamic vinegar","0.05856649","17","False"
"8380","1 (15-ounce) can chickpeas, rinsed and drained","1 ( 15 - ounce ) can chickpeas , rinsed and drained","chickpea","chickpea","0.15065181","27","False"
"3745","2 red bell peppers, seeded and cut in small dice","2 red bell peppers , seeded and cut in small dice","red bell pepper","red bell pepper","0.10763389","60","False"
"3980","1/4 yellow onion, chopped","1 / 4 yellow onion , chopped","yellow onion","yellow onion","0.032736737","164","False"
"8837","1 Tbsp brown sugar","1 Tbsp brown sugar","light brown sugar","light brown sugar","0.09621703","32","False"
"2822","1 tablespoon butter","1 tablespoon butter","unsalted butter","unsalted butter","0.10959208","93","False"
"805","¼ oz. Cilantro","1 / 4 oz . Cilantro","cilantro","cilantro","0.18908063","117","False"
"143","Â½ cup Wild Rice","UNK 1 / 2 cup Wild Rice","white rice","white rice","0.1664505","25","False"
"8553","2 heads romaine lettuce, chopped","2 heads romaine lettuce , chopped","romaine lettuce","romaine lettuce","0.05043014","27","False"
"3638","½ cup heavy cream","1 / 2 cup heavy cream","heavy whipping cream","heavy whipping cream","0.07852552","20","False"
"7434","Kosher salt","Kosher salt","kosher salt","kosher salt","0.0796268","113","False"
"3790","¼ teaspoon turmeric","1 / 4 teaspoon turmeric","ground turmeric","ground turmeric","0.13818695","28","False"
"6222","2 tablespoons fresh dill, chopped","2 tablespoons fresh dill , chopped","fresh dill","fresh dill","0.047573227","13","False"
