"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.021398712","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","chicken broth","","0.4351093","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","raw cashew","","0.46366805","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped veggies ( optional )","frozen mixed vegetable","","0.40499115","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.19535404","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","fresh dill","","0.2618109","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","barley","","0.29868495","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","fresh serrano pepper","","0.41330558","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","sriracha","","0.3898163","335","False"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.21229345","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","skinless chicken breast","","0.21801943","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.23382118","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.19102234","335","False"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","great northern bean","","0.25015524","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.18459809","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded gruyere cheese","","0.2606621","335","False"
"6619","A small pinch of dried wood ear mushrooms (black fungus (yields 1 cup after rehydration))","A small pinch of dried wood ear mushrooms ( black fungus ( yields 1 cup after rehydration ) )","Italian seasoning","","0.49455345","335","False"
"72","2 Tbsp extra virgin olive oil","2 Tbsp extra virgin olive oil","extra-virgin olive oil","olive oil","0.0322524","223","False"
"8925","1/3 cup dried blueberries","1 / 3 cup dried blueberries","blueberry","","0.21140073","335","False"
"1503","Pickled onions","Pickled onions","yellow onion","","0.2185593","335","False"
"998","1 cup basil leaves","1 cup basil leaves","fresh basil","ground dried basil","0.17999935","9","False"
"4460","1 tablespoon cacao nibs or chocolate chips (see note)","1 tablespoon cacao nibs or chocolate chips ( see note )","cocoa powder","","0.31335294","335","False"
"4948","1 tablespoon gochugaru Korean chili flakes or chili paste","1 tablespoon gochugaru Korean chili flakes or chili paste","crushed red pepper flake","","0.3674389","335","False"
"4524","2 tablespoons coconut amino acids (or tamari: GF soy sauce if you are not Paleo)","2 tablespoons coconut amino acids ( or tamari UNK soy sauce if you are not UNK )","coconut milk","","0.39016083","335","False"
"4461","whipped cream or whipped coconut cream (for garnish, optional)","whipped cream or whipped coconut cream ( for garnish , optional )","sour cream","","0.22631788","335","False"
"699","8 (7-inch) whole-wheat or grain-free tortillas","8 ( 7 - inch ) whole - wheat or grain - free tortillas","flour tortilla","","0.26152083","335","False"
"1585","1/3 cup shredded cheese, plus more for topping if desired","1 / 3 cup shredded cheese , plus more for topping if desired","shredded yellow cheddar cheese","shredded colby cheese","0.28699386","1","False"
"7917","16 to 18 (12-inch) bamboo skewers, soaked in warm water for 15 to 30 minutes","16 to 18 ( 12 - inch ) bamboo skewers , soaked in warm water for 15 to 30 minutes","dried rosemary","","0.35276687","335","False"
"1153","Sweet stir-fry blend (coconut aminos - fish sauce)","Sweet stir - fry blend ( coconut aminos - fish sauce )","water-packed white tuna","","0.4291648","335","False"
"5453","6 oil-packed anchovies","6 oil - packed anchovies","oil-packed light tuna","","0.26354307","335","False"
"2629","1 can (4 ounces) mushroom stems and pieces, drained","1 can ( 4 ounces ) mushroom stems and pieces , drained","green onion","","0.39651996","335","False"
"6623","1/4 teaspoon sea salt","1 / 4 teaspoon sea salt","table salt","kosher salt","0.08921083","113","True"
"8666","3 ounces dried apple slices","3 ounces dried apple slices","shrimp","","0.3755569","335","False"
"656","1 tablespoon Pâté (optional, but recommended)","1 tablespoon UNK ( optional , but recommended )","Cheerio","","0.46838006","335","False"
"2979","¼ cup plus 2 Tbsp. extra-virgin olive oil, plus more for drizzling","1 / 4 cup plus 2 Tbsp . extra - virgin olive oil , plus more for drizzling","extra-virgin olive oil","olive oil","0.22654943","223","False"
"3078","Vegan Parmesan Cheese","Vegan Parmesan Cheese","grated parmesan cheese","","0.31749037","335","False"
"726","1 cup uncooked brown basmati rice, for serving (rice is optional, I like to cook extra to have on hand for other meals)","1 cup uncooked brown basmati rice , for serving ( rice is optional , I like to cook extra to have on hand for other meals )","cooked white rice","","0.33170667","335","False"
"4986","1/2 teaspoon dried mint, dill or tarragon","1 / 2 teaspoon dried mint , dill or tarragon","dried tarragon leaf","","0.28249115","335","False"
"485","1/4 cup tamarind juice","1 / 4 cup tamarind juice","lemon juice","","0.258053","335","False"
