"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","459","10","1","0","2","19","1","0","0","0","6"
"B-NAME","0","12","983","1","0","1","6","27","0","0","2","1"
"B-QTY","0","0","0","941","0","0","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","6","3","0","815","1","6","0","0","2","0"
"I-COMMENT","0","14","6","1","0","2","1395","3","0","0","0","14"
"I-NAME","0","2","13","0","0","1","17","1011","0","0","1","5"
"I-QTY","0","0","0","1","0","0","0","0","478","0","2","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","1","0","5","10","2","0","0","116","0"
"OTHER","0","5","8","0","0","2","39","4","0","0","0","864"
