"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","467","8","1","0","0","15","1","0","0","1","5"
"B-NAME","0","10","998","0","0","0","3","17","0","0","0","5"
"B-QTY","0","1","0","939","0","1","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","4","3","0","816","0","6","0","0","4","0"
"I-COMMENT","0","9","10","1","0","2","1387","7","2","0","0","17"
"I-NAME","0","1","15","0","0","1","12","1006","0","0","3","12"
"I-QTY","0","0","0","0","0","0","0","0","479","0","2","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","2","1","0","0","7","9","1","0","0","119","0"
"OTHER","0","5","8","0","0","2","43","4","0","0","0","860"
