"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","458","14","1","0","3","14","3","0","0","0","5"
"B-NAME","0","11","980","0","0","3","6","31","0","0","0","2"
"B-QTY","0","0","0","940","0","0","1","0","0","0","0","2"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","10","3","0","810","0","6","1","0","3","0"
"I-COMMENT","0","16","6","1","0","1","1385","9","0","0","0","17"
"I-NAME","0","3","15","0","0","2","11","1014","0","0","0","5"
"I-QTY","0","0","0","1","0","1","0","0","477","0","2","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","2","0","0","7","10","1","1","0","114","1"
"OTHER","0","4","9","0","0","1","35","11","0","0","1","861"
