"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","456","10","0","0","2","22","1","0","0","2","5"
"B-NAME","0","9","994","0","0","0","3","21","0","0","1","5"
"B-QTY","0","1","0","940","0","0","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","3","0","816","4","3","0","0","2","0"
"I-COMMENT","0","10","4","1","0","1","1392","4","0","0","2","21"
"I-NAME","0","1","13","0","0","2","13","1010","0","0","0","11"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","1","1","0","8","10","1","0","0","114","1"
"OTHER","0","6","7","0","0","1","39","9","0","0","0","860"
