"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","455","14","1","0","3","18","2","0","0","1","4"
"B-NAME","0","12","980","0","0","2","6","30","0","0","1","2"
"B-QTY","0","0","0","940","0","0","1","0","0","0","0","2"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","8","3","0","813","1","6","0","0","2","0"
"I-COMMENT","0","13","6","1","0","2","1390","7","0","0","0","16"
"I-NAME","0","3","15","0","0","2","11","1013","0","0","0","6"
"I-QTY","0","0","0","1","0","0","0","0","479","0","1","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","2","0","0","6","10","1","0","0","114","3"
"OTHER","0","5","8","0","0","1","34","9","0","0","0","865"
