"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","472","7","1","0","0","14","0","0","0","0","4"
"B-NAME","0","14","989","0","0","1","4","23","0","0","1","1"
"B-QTY","0","0","0","942","0","0","1","0","0","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","3","0","815","2","5","0","0","2","1"
"I-COMMENT","0","13","5","2","0","2","1384","11","0","0","1","17"
"I-NAME","0","1","16","0","0","4","13","1009","0","0","1","6"
"I-QTY","0","0","0","0","0","1","0","0","478","0","2","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","1","0","5","10","1","0","0","117","0"
"OTHER","0","2","12","0","0","1","35","7","0","0","0","865"
