"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","466","8","0","0","2","12","1","0","0","3","6"
"B-NAME","0","14","990","0","0","0","4","19","0","0","0","6"
"B-QTY","0","1","0","939","0","1","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","3","0","816","1","4","0","0","4","0"
"I-COMMENT","0","10","7","1","0","1","1377","6","0","0","3","30"
"I-NAME","0","2","14","0","0","3","14","1004","0","0","3","10"
"I-QTY","0","0","0","0","0","0","0","0","479","0","2","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","0","0","5","10","2","0","0","117","0"
"OTHER","0","2","7","0","0","0","37","3","0","0","0","873"
